title,description,category,resolution,priority,request_type
virtualization layer issue,tickets coming in: virtualization layer issue; a node is down since this morning,Infrastructure,,Medium,Incident
cpu at 100,users report cpu at 100; app shut down on its own for the whole team,Infrastructure,,Medium,Incident
worker not ready,tickets coming in: worker not ready; process got killed for the whole team,Infrastructure,,Medium,Incident
worker not ready,"heads up, worker not ready; machine bogged down across the office",Infrastructure,,Medium,Incident
worker not ready,tickets coming in: worker not ready; server crashed hard across the office,Infrastructure,,Medium,Incident
wrong role,users report wrong role; no access for a bunch of people,Access Management,,Medium,Incident
can't get into okta apps,we're seeing can't get into okta apps; new hire account setup for a bunch of people,Access Management,,Medium,Incident
password expired,tickets coming in: password expired; directory not updating across the office,Access Management,,Medium,Incident
can't get into okta apps,people complaining can't get into okta apps; need access granted for a bunch of people,Access Management,,Medium,Incident
authenticator issue,users report authenticator issue; need access granted for the whole team,Access Management,,Medium,Incident
password expired,users report password expired; need to reset my password for the whole team,Access Management,,Medium,Incident
not in the right group,we're seeing not in the right group; group changes not reflecting again,Access Management,,Medium,Incident
wrong role,people complaining wrong role; access denied since this morning,Access Management,,Medium,Incident
need to reset my password,"heads up, need to reset my password; wrong permissions for the whole team",Access Management,,Medium,Incident
locked out,users report locked out; can't get into okta apps again,Access Management,,Medium,Incident
need access granted,people complaining need access granted; need to reset my password for the whole team,Access Management,,Medium,Incident
wrong role,we're seeing wrong role; need elevated access across the office,Access Management,,Medium,Incident
login redirect failing,tickets coming in: login redirect failing; sso not working again,Access Management,,Medium,Incident
can't log in through the portal,"heads up, can't log in through the portal; okta login failing since this morning",Access Management,,Medium,Incident
login redirect failing,people complaining login redirect failing; wrong permissions for the whole team,Access Management,,Medium,Incident
got a scam email,tickets coming in: got a scam email; an attacker for a bunch of people,Security,,Medium,Incident
password stolen,"heads up, password stolen; access they shouldn't have for a bunch of people",Security,,Medium,Incident
attack on the server,we're seeing attack on the server; someone logged in as me again,Security,,Medium,Incident
infected machine,"heads up, infected machine; someone logged in as me across the office",Security,,Medium,Incident
published vulnerability,we're seeing published vulnerability; bad actor targeting us again,Security,,Medium,Incident
suspicious email,we're seeing suspicious email; bad actor targeting us for the whole team,Security,,Medium,Incident
infected machine,"heads up, infected machine; login from a strange place across the office",Security,,Medium,Incident
someone got in,tickets coming in: someone got in; got a scam email again,Security,,Medium,Incident
someone logged in as me,people complaining someone logged in as me; someone got in across the office,Security,,Medium,Incident
someone got in,we're seeing someone got in; got a scam email for the whole team,Security,,Medium,Incident
lots of failed logins,users report lots of failed logins; got a scam email again,Security,,Medium,Incident
published vulnerability,users report published vulnerability; someone got in across the office,Security,,Medium,Incident
published vulnerability,"heads up, published vulnerability; security hole again",Security,,Medium,Incident
breach detected,we're seeing breach detected; someone logged in as me since this morning,Security,,Medium,Incident
published vulnerability,"heads up, published vulnerability; someone logged in as me for a bunch of people",Security,,Medium,Incident
