title,description,category,resolution,priority,request_type
latency case,tracking latency unresponsive; firewall rule unstable across several users; latency erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dns resolution case,noticed that dns resolution unstable; mtu delayed in one department; dns resolution failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
switch port issue,noticed that switch port unresponsive; firewall rule stalling at multiple sites; switch port failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dhcp lease case,tracking dhcp lease degraded; packet loss stalling in one department; dhcp lease delayed,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
packet loss request,monitoring flagged packet loss unstable; firewall rule flapping in production; packet loss failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
latency request,users report latency intermittent; switch port unresponsive during the night shift; latency unstable,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
mtu request,escalated because mtu erratic; vpn tunnel intermittent in production; mtu intermittent,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
subnet request,we are seeing subnet intermittent; latency intermittent during the night shift; subnet failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vlan request,tracking vlan degraded; subnet unresponsive in production; vlan stalling,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vpn tunnel ticket,vpn tunnel unstable; dns resolution recurring for the team; vpn tunnel unresponsive,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
bandwidth ticket,users report bandwidth stalling; switch port flapping during the night shift; bandwidth recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
bandwidth ticket,we are seeing bandwidth failing; packet loss flapping in production; bandwidth failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
switch port case,users report switch port stalling; dns resolution recurring in a branch office; switch port stalling,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
gateway case,ongoing gateway flapping; subnet stalling in one department; gateway flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
packet loss case,ongoing packet loss flapping; switch port unstable during the night shift; packet loss recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
gateway ticket,noticed that gateway unresponsive; vpn tunnel intermittent after the upgrade; gateway flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
routing table case,monitoring flagged routing table intermittent; mtu delayed for the team; routing table erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
subnet case,we are seeing subnet recurring; gateway stalling in a branch office; subnet degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
packet loss alert,we are seeing packet loss unstable; latency failing after the upgrade; packet loss failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
bandwidth issue,we are seeing bandwidth erratic; latency flapping during the night shift; bandwidth recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
routing table alert,tracking routing table unstable; switch port failing at multiple sites; routing table degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
firewall rule case,we are seeing firewall rule delayed; latency erratic for the team; firewall rule failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
routing table request,noticed that routing table erratic; firewall rule delayed after the upgrade; routing table delayed,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
bandwidth fault,monitoring flagged bandwidth flapping; wifi delayed after the upgrade; bandwidth erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
routing table request,escalated because routing table intermittent; subnet unresponsive at multiple sites; routing table delayed,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
subnet issue,noticed that subnet unresponsive; routing table intermittent in production; subnet unresponsive,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
gateway alert,monitoring flagged gateway unstable; dns resolution intermittent at multiple sites; gateway flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dns resolution report,tracking dns resolution stalling; switch port delayed across several users; dns resolution erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
packet loss report,tracking packet loss recurring; switch port failing after the upgrade; packet loss recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vpn tunnel ticket,we are seeing vpn tunnel flapping; vlan flapping after the upgrade; vpn tunnel delayed,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
packet loss report,noticed that packet loss erratic; subnet failing during the night shift; packet loss flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
wifi request,wifi erratic; firewall rule unstable during the night shift; wifi recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
bandwidth case,monitoring flagged bandwidth failing; mtu degraded after the upgrade; bandwidth flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
firewall rule ticket,escalated because firewall rule flapping; vpn tunnel stalling in production; firewall rule intermittent,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vlan report,users report vlan unresponsive; latency flapping after the upgrade; vlan unresponsive,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vpn tunnel fault,users report vpn tunnel failing; wifi stalling across several users; vpn tunnel intermittent,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
latency alert,monitoring flagged latency intermittent; vpn tunnel failing at multiple sites; latency recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
firewall rule case,escalated because firewall rule degraded; routing table recurring in a branch office; firewall rule intermittent,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
latency alert,monitoring flagged latency recurring; vlan recurring in a branch office; latency degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dns resolution issue,tracking dns resolution unresponsive; bandwidth recurring at multiple sites; dns resolution flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dns resolution case,users report dns resolution intermittent; bandwidth degraded across several users; dns resolution unresponsive,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vlan report,noticed that vlan stalling; gateway degraded across several users; vlan delayed,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
mtu request,noticed that mtu erratic; switch port degraded after the upgrade; mtu flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
wifi report,escalated because wifi unstable; firewall rule delayed after the upgrade; wifi unresponsive,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
switch port fault,users report switch port unresponsive; wifi stalling in a branch office; switch port intermittent,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
routing table request,tracking routing table erratic; packet loss recurring in production; routing table recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vpn tunnel request,we are seeing vpn tunnel stalling; routing table unstable in production; vpn tunnel erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
latency ticket,latency unresponsive; subnet recurring at multiple sites; latency unresponsive,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dns resolution case,we are seeing dns resolution flapping; packet loss erratic after the upgrade; dns resolution delayed,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dhcp lease report,ongoing dhcp lease erratic; wifi failing at multiple sites; dhcp lease degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
switch port alert,escalated because switch port unresponsive; wifi recurring in production; switch port stalling,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
switch port fault,ongoing switch port stalling; wifi stalling in a branch office; switch port erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
subnet issue,monitoring flagged subnet intermittent; packet loss stalling at multiple sites; subnet degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
packet loss report,ongoing packet loss unresponsive; wifi recurring for the team; packet loss delayed,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
mtu ticket,ongoing mtu intermittent; packet loss stalling across several users; mtu unstable,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
wifi alert,ongoing wifi unresponsive; gateway failing in one department; wifi failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dhcp lease report,ongoing dhcp lease degraded; latency failing after the upgrade; dhcp lease recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
routing table ticket,escalated because routing table unstable; mtu failing for the team; routing table unresponsive,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
mtu report,mtu erratic; dns resolution degraded in one department; mtu recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
firewall rule fault,users report firewall rule unresponsive; latency degraded during the night shift; firewall rule intermittent,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
bandwidth request,tracking bandwidth recurring; mtu intermittent after the upgrade; bandwidth delayed,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
routing table request,routing table recurring; subnet flapping for the team; routing table unresponsive,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
latency case,monitoring flagged latency intermittent; packet loss unresponsive at multiple sites; latency degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
firewall rule issue,escalated because firewall rule unstable; gateway failing after the upgrade; firewall rule flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
subnet alert,users report subnet unresponsive; vpn tunnel unresponsive at multiple sites; subnet erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
subnet request,users report subnet recurring; latency intermittent at multiple sites; subnet flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dhcp lease ticket,monitoring flagged dhcp lease unstable; firewall rule degraded in a branch office; dhcp lease failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
bandwidth request,users report bandwidth recurring; wifi unresponsive after the upgrade; bandwidth erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
wifi case,escalated because wifi flapping; subnet unresponsive after the upgrade; wifi delayed,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dns resolution issue,ongoing dns resolution flapping; bandwidth stalling across several users; dns resolution recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dns resolution case,ongoing dns resolution recurring; packet loss recurring across several users; dns resolution failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
latency alert,ongoing latency erratic; mtu delayed in one department; latency erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
bandwidth case,noticed that bandwidth erratic; switch port degraded during the night shift; bandwidth erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vlan case,tracking vlan degraded; mtu unstable after the upgrade; vlan stalling,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
subnet report,users report subnet delayed; dhcp lease failing in production; subnet erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
subnet issue,escalated because subnet flapping; vlan delayed during the night shift; subnet failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vpn tunnel fault,escalated because vpn tunnel stalling; packet loss recurring across several users; vpn tunnel erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
packet loss fault,escalated because packet loss unstable; subnet unresponsive for the team; packet loss erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vpn tunnel fault,vpn tunnel intermittent; dhcp lease unstable during the night shift; vpn tunnel unresponsive,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dns resolution request,monitoring flagged dns resolution degraded; packet loss erratic after the upgrade; dns resolution degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
wifi fault,escalated because wifi unresponsive; subnet flapping at multiple sites; wifi erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
routing table alert,monitoring flagged routing table flapping; gateway intermittent for the team; routing table recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
subnet request,ongoing subnet flapping; latency stalling across several users; subnet delayed,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
subnet ticket,monitoring flagged subnet recurring; wifi recurring after the upgrade; subnet erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
gateway ticket,tracking gateway stalling; routing table delayed after the upgrade; gateway delayed,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vlan case,we are seeing vlan intermittent; packet loss recurring during the night shift; vlan flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vpn tunnel case,monitoring flagged vpn tunnel erratic; vlan flapping after the upgrade; vpn tunnel flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vpn tunnel fault,escalated because vpn tunnel recurring; firewall rule stalling for the team; vpn tunnel degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
gateway issue,users report gateway unstable; routing table flapping after the upgrade; gateway unstable,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
latency ticket,noticed that latency recurring; subnet flapping during the night shift; latency degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vlan case,users report vlan erratic; dhcp lease delayed at multiple sites; vlan failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dhcp lease ticket,users report dhcp lease intermittent; mtu degraded for the team; dhcp lease flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
routing table case,noticed that routing table unresponsive; firewall rule failing across several users; routing table failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
subnet ticket,tracking subnet flapping; vlan unstable in one department; subnet intermittent,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
firewall rule issue,we are seeing firewall rule recurring; mtu flapping after the upgrade; firewall rule recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
bandwidth alert,ongoing bandwidth erratic; firewall rule unresponsive across several users; bandwidth erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
latency ticket,escalated because latency delayed; routing table unstable in production; latency degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
bandwidth case,ongoing bandwidth flapping; subnet unresponsive at multiple sites; bandwidth erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
switch port issue,noticed that switch port intermittent; routing table flapping in a branch office; switch port recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
wifi issue,wifi flapping; subnet unresponsive after the upgrade; wifi failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
mtu request,we are seeing mtu intermittent; subnet recurring at multiple sites; mtu stalling,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
bandwidth case,ongoing bandwidth unstable; subnet degraded after the upgrade; bandwidth failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vpn tunnel ticket,noticed that vpn tunnel unstable; bandwidth degraded during the night shift; vpn tunnel unresponsive,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
firewall rule alert,ongoing firewall rule delayed; packet loss stalling in one department; firewall rule delayed,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
subnet request,escalated because subnet unresponsive; routing table stalling for the team; subnet degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
firewall rule alert,users report firewall rule flapping; latency delayed during the night shift; firewall rule stalling,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vpn tunnel fault,ongoing vpn tunnel degraded; subnet erratic during the night shift; vpn tunnel stalling,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
mtu ticket,mtu degraded; dhcp lease intermittent in production; mtu erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
bandwidth case,tracking bandwidth degraded; packet loss erratic for the team; bandwidth unresponsive,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
firewall rule issue,users report firewall rule unresponsive; vpn tunnel erratic at multiple sites; firewall rule degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
gateway report,tracking gateway erratic; firewall rule stalling in one department; gateway delayed,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
switch port issue,ongoing switch port erratic; dhcp lease recurring across several users; switch port flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
wifi alert,noticed that wifi erratic; vlan erratic for the team; wifi intermittent,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dhcp lease fault,ongoing dhcp lease stalling; vlan failing at multiple sites; dhcp lease flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dns resolution issue,dns resolution intermittent; routing table recurring in production; dns resolution failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
packet loss request,we are seeing packet loss recurring; firewall rule intermittent at multiple sites; packet loss degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
mtu ticket,ongoing mtu unstable; packet loss recurring in one department; mtu failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
firewall rule ticket,monitoring flagged firewall rule unstable; gateway degraded across several users; firewall rule failing,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vlan request,vlan intermittent; latency recurring in one department; vlan stalling,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
subnet alert,users report subnet flapping; vpn tunnel delayed after the upgrade; subnet degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
routing table ticket,escalated because routing table delayed; latency recurring at multiple sites; routing table degraded,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
bandwidth case,bandwidth delayed; vpn tunnel unresponsive across several users; bandwidth erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
routing table report,users report routing table degraded; switch port erratic for the team; routing table erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vlan alert,noticed that vlan degraded; bandwidth unstable during the night shift; vlan unresponsive,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
bandwidth ticket,tracking bandwidth erratic; gateway delayed for the team; bandwidth recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
latency issue,escalated because latency delayed; wifi intermittent at multiple sites; latency flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
switch port request,users report switch port erratic; vlan flapping in production; switch port flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
switch port case,escalated because switch port unresponsive; vlan stalling for the team; switch port unstable,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
dns resolution issue,monitoring flagged dns resolution flapping; mtu degraded across several users; dns resolution stalling,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
bandwidth fault,noticed that bandwidth stalling; gateway degraded during the night shift; bandwidth flapping,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
mtu issue,noticed that mtu unresponsive; wifi recurring for the team; mtu unresponsive,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
bandwidth alert,users report bandwidth unstable; gateway erratic in production; bandwidth intermittent,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
mtu ticket,we are seeing mtu degraded; gateway unresponsive during the night shift; mtu recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
mtu request,mtu recurring; gateway recurring in a branch office; mtu delayed,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vpn tunnel ticket,vpn tunnel unresponsive; firewall rule stalling in one department; vpn tunnel stalling,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
mtu fault,mtu flapping; firewall rule degraded for the team; mtu unstable,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
wifi alert,noticed that wifi flapping; gateway flapping in one department; wifi erratic,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
vlan case,users report vlan stalling; subnet recurring across several users; vlan recurring,Network,"Checked DNS, firewall and routing config; restored the affected network path.",Medium,Incident
